headline,date,document_type,type_of_material,section_name,keywords,snippet,source,lead_paragraph
Crime-Busting Dog Ready to Bite Again,1987-09-24,article,News,Home & Garden,"['Children and Youth', 'Crime and Criminals']",,The New York Times,"WEARING a trench coat with the collar up, he looks more like a candidate for Gentlemen's Quarterly than a canine cartoon character. But McGruff, the suave symbol of the National Crime Prevention Council in Washington, has become a watchdog for safety, urging children and their parents to ''Take a Bite Out of Crime'' in televised public-service announcements."
MIXED SIGNALS FRAY NERVES AS DOG DAYS SET IN,1982-06-25,article,News,U.S.,['United States Politics and Government'],,The New York Times,"It's not even July, but Dog Days seem to have arrived at the White House. Aides to President Reagan have only now begun to recover, physically and emotionally, from his grueling nine-day European trip earlier this month. And the disappointing economic news at home has dampened the staff's ability to savor the President's budget victories in Congress."
PLAYING AGAIN AT THE APOLLO: TOP DOG NIGHT,1986-06-11,article,News,New York,"['Restoration and Rehabilitation', 'Area Planning and Renewal', 'Entertainment and Amusements']",,The New York Times,"Ralph Cooper climbed the steps from the stage to the dressing rooms of the Apollo Theater. ''This is the stairway,'' he said. ''The stairway to the stars.''"
"BAD IDEA, BAD ART, BAD DOG",1987-03-02,article,News,U.S.,"['Accidents and Safety', 'Soil', 'Navajo Indians', 'PUBLIC BUILDINGS', 'Dogs', 'Trucks and Trucking', 'Taxation', 'Real Estate', 'Law and Legislation', 'Water Pollution', 'Indians, American', 'Roads and Traffic', 'Auctions', 'Birds', 'CHEMICAL WARFARE', 'Art', 'EAGLES']",,The New York Times,"No one knows why the 20 or so bald eagles decided to roost this winter at the Rocky Mountain Arsenal northeast of here. But whatever the reason, they probably should have reconsidered."
"ONE 'NORMAL' HOT DOG, COMING UP",1983-03-06,article,News,New York,['Cooking and Cookbooks'],,The New York Times,"AS I drove my teen-age son off to another dinner with a friend, I asked, ''How come you never invite any of your friends to eat with us?''"
FRANCE GETS TOUGH WITH 'LE HOT DOG',1983-02-21,article,News,Arts,"['Fines (Penalties)', 'Language and Languages', 'Law and Legislation']",,The New York Times,Hopeful French actors may be dismayed to learn that they will no longer be able to turn up at ''le casting'' in search of a job.
"From Eureka, Alaska, To a Dog's Life in the City",1986-04-16,article,News,New York,"['Dogs', 'Sleds']",,The New York Times,"Susan Butcher and her dog Rye were in town yesterday, and Rye was not very happy."
  Every Dog Does Not Have Its Day,1985-01-04,article,News,New York,"['Dogs', 'Identification Devices', 'RETAIL STORES AND TRADE']",,The New York Times,Dogs that rescue their owners are a
Scientists Teach A Dog's Muscle A Vital New Trick,1986-12-14,article,News,Week in Review,['TERMS NOT AVAILABLE'],,The New York Times,"Like any muscle, the heart needs a constant supply of nutrients and oxygen. In cases of atherosclerosis, fatty deposits constrict the vessels feeding the heart."
"After His Dog's 'Approval,' the Time Is Right to Remarry",1989-03-05,article,News,New York,['Dogs'],,The New York Times,"IT is an image branded on our minds and memories. Gary Cooper, in the movie ''Sergeant York,'' is silhouetted against an evening sky, sitting on a ledge studying the Bible and trying to make sense of a world torn by global conflict."
"PATENTS;
ALARM SYSTEM FEATURES SOUND OF A BARKING DOG",1986-02-22,article,News,Business Day,"['Robberies and Thefts', 'INVENTIONS AND INVENTORS', 'Dogs', 'BURGLAR ALARMS']","A barking dog alarm system intended to frighten burglars was patented this week by Salvatore J. Giordano, a retired insurance agent in the Bronx.

According to patent 4,571,583, the invention simulates the sound of a barking dog if a door or windo...",The New York Times,"A barking dog alarm system intended to frighten burglars was patented this week by Salvatore J. Giordano, a retired insurance agent in the Bronx."
DOG IS RULED COUPLE'S 'CHILD' IN CUSTODY CASE IN CALIFORNIA,1983-09-09,article,News,U.S.,"['Dogs', 'Child Custody and Support', 'TRIALS', 'Divorce, Separations and Annulments']",,The New York Times,"After a year of bitter divorce proceedings, a judge has awarded a childless couple joint custody of their dog in accordance with California's child custody laws."
Luncheon Guests at Sardi's Were Definitely Top Dog,1988-03-10,article,News,New York,['Dogs'],,The New York Times,"Two top dogs lunched at Sardi's yesterday, but though the restaurant had spare tables, they weren't given seats."
COOKS MOVE BEYOND HUMBLE HOT DOG,1986-07-02,article,News,Home & Garden,"['Cooking and Cookbooks', 'Recipes']",,The New York Times,"OUTDOOR barbecues were once among life's ingenuous summer pleasures, requiring neither forethought nor fashion consciousness. Steaks, burgers, hot dogs or maybe chicken breasts were all that were expected, and indeed they could be sublime. Today, like many once-simple commodities such as television (three networks), sneakers (high or low) and pizzas (thick and chewy or thin and crispy), grilling has become frightfully upscale and potentially confusing."
"DOG FOOD IS PROPOSED, WITH A SECRET INGREDIENT: BITH CONTROL",1985-02-10,article,News,U.S.,"['Dogs', 'Birth Control and Family Planning']",,The New York Times,Coming soon to supermarket shelves all over the country: dog food laced with a birth control drug.
NEW HAVEN DOG LAW DRAWS MIXED REACTION,1987-04-05,article,News,New York,"['Feces', 'Dogs', 'Law and Legislation']",,The New York Times,"WHILE some New Haven residents are hoping a newly passed ''pooper scooper'' law will mean cleaner sidewalks and parks, others feel that such change will come about only when dog owners begin acting responsibly."
ADVERTISING ; Carnation's Dog Food Alters Disputed Claim,1983-11-17,article,News,Business Day,"['ADVERTISING (TIMES COLUMN)', 'Dogs', 'ADVERTISING', 'PETS AND PET FOODS']",,The New York Times,"When you make taste preference claims on behalf of consumers who cannot articulate their own, you are skating on thin ice. And last month, the Carnation Company, maker of New Breed Dog Food, found that out."
COURT BATTLE CONTINUES OVER VALUE OF PET DOG,1987-11-29,article,News,New York,"['Fines (Penalties)', 'Dogs', 'TRIALS', 'DAMAGE SUITS', 'Decisions and Verdicts']",,The New York Times,"NOW 16 years old, Tucker is quite deaf, nearly blind and walks very slowly. But his owner, Elissa Zager, said recently that the family pet ''still has a sparkle in his eyes.''"
Handsome Dan XIII Enjoys a Dog's Life at Yale,1988-11-20,article,News,New York,['Dogs'],,The New York Times,"AFTER a two-hour grilling, Christopher and Evelyn (Toddie) Getman of New Haven were told they would make suitable parents. ''Deals were made,'' Mr. Getman said furtively."
Westchester Escapee Seized While Walking Dog in Bronx,1985-06-16,article,News,New York,"['Prisons and Prisoners', 'Prison Escapes']",,The New York Times,"A man who escaped from the Westchester County Jail in May was captured in the Bronx Friday while walking his dog, the county police said."
DASHING THROUGH SNOW IN 16-DOG OPEN SLEDS,1984-01-30,article,News,New York,['TERMS NOT AVAILABLE'],,The New York Times,"Just minutes from the ski lifts and condominiums of Lake Placid, within earshot of snowmobile and automobile, a hundred men and women and a thousand dogs gathered this weekend for one of the ancient rites of winter."
NBC DROPS PLAN TO SHOW FILM 'WHITE DOG',1984-01-20,article,News,Movies,"['MOTION PICTURES', 'Dogs', 'TELEVISION PROGRAMS', 'Television', 'BLACKS (IN US)', 'RACIAL RELATIONS']",,The New York Times,"NBC has dropped plans to broadcast ''White Dog,'' a movie about a dog trained to attack black people, saying that it has decided that it would be ''inappropriate.''"
OUTDOORS: BIRD AND GUN TEST A DOG'S SKILLS TO THE UTMOST,1983-12-12,article,News,Sports,"['FIELD TRIALS', 'Hunting and Trapping']",,The New York Times,"WALLKILL, N.Y."
Westminster Show; Pomeranian Takes Top Dog Ribbon,1988-02-10,article,News,Sports,['DOG SHOWS'],,The New York Times,"The smallest dog in the ring, a four-and-a-half-pound Pomeranian, scored the biggest victory of his career last night when he was selected by Michele Billings as the best of 2,651 dogs at the 112th annual Westminster Kennel Club show in Madison Square Garden."
Roosevelt Home Marks Royal Hot-Dog History,1989-06-12,article,News,New York,"['FRANKFURTERS', 'Picnics']",,The New York Times,Fifty years ago today the British King and Queen came here on a diplomatic visit and made gastronomic history. They ate their first hot dogs.
Ted Cowell Dog Rescued From Icy River,1981-01-22,article,News,New York,"['Animals', 'Police']",,The New York Times,"Wet, cold and frightened, a stray dog scrambled to stay atop a bobbing ice floe yesterday after falling into the Hudson River off Morton Street in Greenwich Village. Before drifting very far, he was spotted by officers in a police launch who lifted him to firmer footing and brought him back to dry land."
DOG HELPED POLICE SEIZE SON IN MOTHER'S SLAYING,1982-08-10,article,News,New York,"['Murders and Attempted Murders', 'BOMBS AND BOMB PLOTS', 'Explosions']",,The New York Times,"The findings of a handwriting expert and of a dog trained in tracking human scents helped lead to the arrest of a Brooklyn man charged with killing his mother by mailing her an explosive device in a hollowed-out cookbook, investigators revealed yesterday."
PET SITTERS DO MORE THAN WALK THE DOG,1981-04-09,article,News,Home & Garden,['Animals'],,The New York Times,-------------------------------------------------------------------- Marcelle Sussman is a freelance writer. By MARCELLE SUSSMAN
"Sports of The Times; This Hot Dog's Smothered in Onions, Too",1989-10-08,article,News,Sports,['Baseball'],,The New York Times,"The rules were different when Ernie Whitt broke into baseball in 1972, or at least that's the way it seems to him today."
OLD LYME HOT-DOG VENDOR TAKES A STAND,1981-07-12,article,News,New York,"['Vendors, Street', 'RETAIL STORES AND TRADE']",,The New York Times,"OLD LYME WHEN Howard E. McKee of Old Lyme began his summer job, he figured he could count as customers all the people he had met in his 15 years as a physical education teacher and coach."
POLAR EXPLORERS TO TREK 500 MILES BY DOG SLED,1986-02-25,article,News,Science,"['Diet and Nutrition', 'Sleds', 'Dog Sledding', 'Oils and Fats', 'Cholesterol', 'Food']",,The New York Times,"In early March, when the dormant winter sun first glimmers on the horizon, 58 hardy travelers will set out from the northernmost point in North America for the North Pole."
RIVERHEAD,1981-07-19,article,News,New York,"['Robberies and Thefts', 'Animals', 'Police', 'Crime and Criminals']",,The New York Times,A PROPOSAL by town officials here to use a canine squad to assist patrolling police officers has left many residents feeling that the town is going to the dogs in more ways than one.
Nursed Back to the Top,1989-05-08,article,News,Sports,['DOG SHOWS'],,The New York Times,"To be named top dog at the Westminster Kennel Club show at Madison Square Garden takes generations of proper breeding, a lifetime of meticulous grooming and training, and days of intense preparation."
Sports of The Times ; Yank Man(ager) Bites Dog,1984-10-28,article,News,Sports,"['Baseball', 'Coaches and Managers']",,The New York Times,In announcing that Yogi Berra
'MY MOTHER WOULD BE TREATED BETTER IF SHE WERE A DOG',1986-02-16,article,News,New York,"[""Parkinson's Disease"", 'Nursing Homes']",,The New York Times,"WHEN I walked into my mother's room at the nursing center she was tied to the bed. She started to cry and said she was being kept prisoner. Of course not, the floor nurse said, it's just that my mother had been falling a lot recently. Her Parkinson's has been getting worse, she can't learn to manage a cane (she waves it like a baton) or a walker (ditto, only clumsier) and she can walk safely only if she holds the rail on one side while someone supports her arm on the other. The trouble is that she either forgets to ask for help or, if she does, it's not always available."
New York Sled Leads In 16-Dog Team Racing,1984-01-29,article,News,Sports,['TERMS NOT AVAILABLE'],,The New York Times,"Harris Dunlap of Baker's Mills, N.Y., and his 16-dog team maintained the lead today in the unlimited class competition at the $30,000 Alpo sled dog championships."
RACEWAY ERA: WHEN DOG DAYS BECAME TROTTER NIGHTS,1988-07-22,article,News,New York,"['Harness Racing', 'Horse Racing']",,The New York Times,"The pigeons control the place now - the airborne variety, not the breed that used to surge through the turnstiles bearing money. The pacers and the trotters who allegedly trained on artichokes and gamboled with sheep have long since departed. Roosevelt Raceway is closing down."
"Pit Bull Mauls Woman, 18; The Dog Is Seized for Tests",1989-02-06,article,News,New York,"['Accidents and Safety', 'Dogs', 'PIT BULLS (DOGS)', 'Children and Youth']",,The New York Times,"A pit bull terrier bit off a portion of the right ear of an 18-year-old girl who was playing with the dog in the hallway of a her Brooklyn apartment building yesterday, the police said."
Metro Datelines; Truck Hits and Kills Blind Man and Dog,1988-11-10,article,News,New York,"['Accidents and Safety', 'Dogs', 'Roads and Traffic', 'Blindness']",,The New York Times,A blind man and his guide dog were struck and killed by a dump truck as they crossed a street in this Syracuse suburb.
"2,628 Entries for Westminster",1989-02-12,article,News,Sports,['DOG SHOWS'],,The New York Times,"In the political arena, in 1877, Rutherford B. Hayes was serving his first year as President. In the racing world, the Kentucky Derby had its third running, with Baden Baden winning a $3,300 purse. In canine circles, the Westminster Kennel Club held its first show."
WOMAN LOSES CUSTODY FIGHT WITH HER PARENTS OVER DOG,1983-12-18,article,News,New York,"['Dogs', 'Suits and Litigation']",,The New York Times,"A family dog is a piece of property, like a washing machine or a television set, a Superior Court judge has ruled in denying a 20-year-old woman's bid to wrest a dog from her parents."
"About New York; For Volunteers, Walking a Dog Is Never a Chore",1988-06-15,article,News,New York,"['Dogs', 'Volunteers']",,The New York Times,"The alliteratively named Peter Paris, a young man who moved to town a year ago from Indiana and immediately missed having a dog, dropped into the Humane Society of New York Monday on his lunch hour and picked a pet to walk. He chose Pywaket, a mix of German shepherd and collie, by the looks of her, affixed a leash, got some newspaper, signed her out in the log book, and left by the front door, past a sign that says: ''Volunteer! Walk a dog! Dogs, up for adoption, need walks and fresh air. Contact Sarah: 752-4842.''"
President Witnesses a Birth As Pet Dog Has Litter of 6,1989-03-19,article,News,U.S.,[],,The New York Times,"Millie, the President's English springer spaniel, gave birth to six puppies late Friday and early this morning."
41ST ALL-BREED DOG SHOW PLANNED AT COUNTY CENTER,1981-03-01,article,News,Archives,['Animals'],"AT the 41st annual All-Breed Dog Show, to be held by the Saw Mill River Kennel Club next Sunday at the County Center in White Plains, hundreds of dogs will compete in showmanship, obedience and for selection as best specimen of a breed.

Licensed ...",The New York Times,"AT the 41st annual All-Breed Dog Show, to be held by the Saw Mill River Kennel Club next Sunday at the County Center in White Plains, hundreds of dogs will compete in showmanship, obedience and for selection as best specimen of a breed."
Around the Nation; Prisoner Charges Police Set a Dog on Him,1981-12-13,article,News,U.S.,"['Prisons and Prisoners', 'BRUTALITY AND HARASSMENT CHARGES', 'Police']",,The New York Times,"Three members of the police force of Signal Hill, Calif., have been accused of unleashing a dog to attack a prisoner and of spraying him with tear gas in a locked cell."
Doberman Chosen As Best,1989-02-15,article,News,Sports,['DOG SHOWS'],,The New York Times,"A sleek, elegant red Doberman bitch, Ch. Royal Tudor's Wild as the Wind, C.D., who answers to the name of Indy, last night was named the supreme winner of the 113th annual Westminster Kennel Club show in Madison Square Garden."
HOT-DOG LOVERS PROTEST THREAT TO SHUT L.I. STAND,1984-01-01,article,News,New York,"['BARS AND RESTAURANTS', 'Zoning']",,The New York Times,"Limousines and tractor-trailers park side by side at one point in this Suffolk County community, where the drivers run up to a hot-dog stand to place their orders."
"WHAT'S NEW IN FOOD REGULATION;
IS THE HOT DOG AN ENDANGERED SPECIES?",1983-04-24,article,News,Business Day,"['FOOD AND GROCERY TRADE', 'Children and Youth', 'Consumer Protection']","Gerber ''meat sticks,'' which have been on the market for 22 years without reported problems, will soon be carrying labels urging that ''to reduce the possibility of choking,'' consumers should ''serve these sticks only to toddlers who have learne...",The New York Times,"Gerber ''meat sticks,'' which have been on the market for 22 years without reported problems, will soon be carrying labels urging that ''to reduce the possibility of choking,'' consumers should ''serve these sticks only to toddlers who have learned to chew solid foods properly.''"
"MIDWEST JOURNAL;DOG'S LIFE, MAN'S LIFE, CAR'S LIFE",1985-01-28,article,News,U.S.,"['Robberies and Thefts', 'Automobiles', 'Dogs', 'Tires', 'AGED', 'Autopsies']",,The New York Times,"On Judge Edward Sosnick's docket, the case was listed as City of Birmingham v. Schwarb. But to the spectators who filled the courtroom last week, it was a murder case and the defendant was King Boots, a prize-winning Old English sheepdog."
YOUTH WALKING DOG IN QUEENS SET AFIRE BY LAUGHING THIEF,1984-04-25,article,News,New York,"['Robberies and Thefts', 'Assaults', 'Children and Youth']",,The New York Times,A 16-year-old Queens youth walking his dog was set afire early yesterday by a robber who sprayed a flammable liquid in his face and then laughed as he ignited it with a cigarette lighter.
COMPUTER 'DOG TAGS' BEING WORKED OUT FOR ELECTRONIC ARMY,1983-06-19,article,News,U.S.,"['Identification Devices', 'ARMIES', 'DATA PROCESSING', 'Military Personnel', 'UNITED STATES ARMAMENT AND DEFENSE']",,The New York Times,The metal dog tags worn around the neck by soldiers for decades in war and peace may soon be another casualty of the computer age.
BODIES WITHOUT DOG TAGS CREATE DIFFICULTY IN IDENTIFYING MARINES,1983-10-27,article,News,World,"['BOMBS AND BOMB PLOTS', '0US INTL REL', 'Identification Devices', 'MARINE CORPS', 'Terrorism', 'UNITED STATES ARMAMENT AND DEFENSE']",,The New York Times,"The Marine Corps has so far been unable to identify 176 of the marines killed in Beirut by a truck bomb early Sunday morning, a Marine spokesman said today."
EVERY DOG HAS HIS DAY: ICI ON PARLE FRANCAIS,1982-07-11,article,News,Archives,['NO INDEX TERMS'],"IF you happen to meet Mirabelle one day, you will notice right away that she thinks we are her real parents. Now, this is really hard on us. I mean, we never actually told her anything about her true origins, but we never lied either - we thought ...",The New York Times,"IF you happen to meet Mirabelle one day, you will notice right away that she thinks we are her real parents. Now, this is really hard on us. I mean, we never actually told her anything about her true origins, but we never lied either - we thought that her four legs should be enough of a clue. Unfortunately, she seems never to have noticed that our other children have only two...."
U.S. DOG RESCUE TEAMS SEEKING SURVIVORS AT LANDSLIDE SITE,1985-10-11,article,News,U.S.,"['MUDSLIDES', 'Rescues', 'Weather', 'Floods']",,The New York Times,"Rescue teams with dogs, sent from the United States mainland, today traversed the hillside of Mameyes today to determine if there was hope for finding any more residents of the shantytown alive after a rain-driven landslide swept down on them Monday."
About New York; Punk Poodles And Dog Gossip: Mel's Kingdom,1987-04-22,article,News,New York,['Dogs'],,The New York Times,"''I'm sorry,'' the receptionist said to the caller, saying what all good receptionists say: ''Mr. Davis is busy at the moment. No, Mr. Davis is not in conference. He's washing a cat.''"
37 Pit Bulls and a Man Held In Colorado Dog Fight Raid,1988-02-09,article,News,U.S.,"['Dogs', 'PIT BULLS (DOGS)']",,The New York Times,"The authorities have raided a suspected illegal dog-fighting operation here, arresting a man and seizing 37 pit bull terriers leashed to their dog houses."
About New York; Dog Boot Camp: Giving Character To Screwballs,1987-07-18,article,News,New York,['Dogs'],,The New York Times,"On Rudy! On Remy! On Roxie and Boomer! On Peek-a-Boo, Honey Bear, Scarlet and Scone!"
Currents; Modern Dog Has Its Day In Heralding '92 Games,1988-07-21,article,News,Home & Garden,"['Olympic Games (1992)', 'SUMMER GAMES (OLYMPICS)']",,The New York Times,"THE jury representing the Barcelona '92 Olympic Organizing Committee is touting its logo selection as a ''modern, non-Disney-like approach,'' and they may well be right. The canine symbol that will herald the 1992 Olympic Games to be held in Barcelona, Spain, is the handiwork of Javier Mariscal, one of Spain's most talented illustrators and furniture designers."
Every Dog (and Elephant) Has Its Day in St. John Rite,1987-10-05,article,News,New York,['Animals'],,The New York Times,"In much of New York City, animals are not welcome. There are ''no dogs'' signs in store windows and ''no pet'' clauses in city leases. Yesterday, however, animals were given center stage at the Cathedral of St. John the Divine, a church that often draws its inspiration from the Middle Ages."
"Speaking Personally;
REMEMBRANCES OF MOTHER'S PET, DUKIE: MORE THAN A DOG?",1982-02-14,article,News,Archives,"['Suburbs', 'Urban Areas']","DURING the last seven years, I've come to appreciate how life in Westchester can dim the urban past. Despite the daily contrast of working in New York City, the personal concerns and joys of a suburban style of life are soon accepted as the way of...",The New York Times,"DURING the last seven years, I've come to appreciate how life in Westchester can dim the urban past. Despite the daily contrast of working in New York City, the personal concerns and joys of a suburban style of life are soon accepted as the way of things. And as the erstwhile city places of earlier years are encountered less frequently, remembrances of things past somehow soften and fade."
MAN WHO LOST LEG TO RESCUE DOG SAYS HE HAS NO REGRETS,1984-11-23,article,News,U.S.,"['Accidents and Safety', 'Dogs', 'Legs', 'Railroads']",,The New York Times,"Five months ago Cole McFarland leaped in front of an onrushing train to save his dog. It cost him his leg, but he says he has no regrets."
"Doberman, Wheaten, Puli Gain",1989-02-14,article,News,Sports,['TERMS NOT AVAILABLE'],,The New York Times,"A Doberman, a soft-coated wheaten terrier, a black standard poodle and a puli won in group judging last night at the 113th annual Westminster Kennel Club show in Madison Square Garden."
COUPLE IN WEST KILL 6 IN DISPUTE THAT MAY HAVE BEEN OVER A DOG,1986-12-09,article,News,U.S.,"['Dogs', 'Murders and Attempted Murders']",,The New York Times,"A man and a woman today killed six people, including two young girls, in what may have been a quarrel over the ownership of a dog, relatives of the victims and the police said. Three other people survived the attack."
PHONE FEUD OVER A DOG BITE IS STILL LIVELY AFTER 45 YEARS,1982-10-17,article,News,U.S.,"['TELEPHONES', 'Assaults', 'Suits and Litigation']",,The New York Times,"Gertrude Jamison, 84 years old, tormented A. Douglas Thompson by telephone for 45 years, and she is at it again, he says, apparently by having circumvented a courtordered padlock on her phone."
Westminster Blends Tradition and Quality,1987-02-08,article,News,Sports,['DOG SHOWS'],,The New York Times,"Westminster, the most prestigious of the more than 1,000 all-breed dog shows held annually in the United States, opens a two-day run at Madison Square Garden tomorrow."
17 SPECIALTIES SET WESTMINSTER STAGE,1987-02-09,article,News,Sports,['DOG SHOWS'],,The New York Times,"Although 17 specialty shows at 10 sites in the metropolitan area caused the principal excitement among dog fanciers yesterday, they were only a prelude to the main event. That show, the 111th annual Westminster Kennel Club event, begins at Madison Square Garden this morning and ends late tomorrow night."
ACTOR WALKING DOG ON 23RD ST. IS KILLED AS CAR RUNNING RED LIGHT HITS CAB,1985-04-06,article,News,New York,"['Accidents and Safety', 'Taxicabs and Taxicab Drivers', 'Roads and Traffic', 'Assaults', 'Drunken and Reckless Driving', 'Manslaughter']",,The New York Times,"An unemployed actor was killed early yesterday on a West Side street when a taxicab was struck and hurled into him by a car that had run a red light, the police said."
The Talk of North Little Rock,1983-03-20,article,News,U.S.,"['Names, Geographical']",,The New York Times,"Several years ago, residents say, this city got fed up with being called Dog Town. So the Chamber of Commerce decided to give the humiliating nickname a proper funeral. To make it official, they purchased, at great expense, a marble tombstone, declaring, ''Here Lies Dog Town.''"
"  A Woman and Her DogsAdversity has its advantages, even if you are mushing a dog team 1,135 miles from Anchorage to Nome, Alaska.",1985-03-24,article,News,Week in Review,['TERMS NOT AVAILABLE'],,The New York Times,"Libby Riddles , who last week became the first woman to win the Iditarod Trail Dog Sled Race, got the final jump on her competitors when she set out in a blizzard a few days earlier while the other mushers waited out the storm 130 miles from the finish line. It took the 28-year-old woman 17 days to make the trek through two mountain ranges and over the Yukon River."
Tick-Borne Lyme Disease Is on the Rise Among Dogs,1989-06-11,article,News,New York,"['Lyme Disease', 'Dogs', 'Raccoons']",,The New York Times,VETERINARIANS on Long Island report a sharp increase in the number of dogs with Lyme disease.
"Puppies Are Made Bad The sight of a child playing tug-of-war with a puppy warms the cockles of many parents' hearts. But such a game can often be a losing one for both dog and child, a Purdue University scientist says.",1982-12-14,article,News,Science,"['Animals', 'Psychology and Psychologists']",,The New York Times,"Dr. John Stump, professor of veterinary anatomy at Purdue's Center for Applied Ethology and Human/Animal Interactions, has observed that playing tug-of-war leads a puppy to adopt destructive habits. After many sessions of rope-tugging, he says, a dog looks at the world differently than it did before."
Pet Parade: Cats Climb Into First,1989-05-21,article,News,New York,"['Animals', 'Dogs', 'Cats']",LEAD: THE English springer spaniel of President and Mrs. Bush that gave birth to five puppies earlier this spring also spawned a run on the breed at pet shops across Long Island.,The New York Times,LEAD: THE English springer spaniel of President and Mrs. Bush that gave birth to five puppies earlier this spring also spawned a run on the breed at pet shops across Long Island.
Teen-Age Girl Held in Slaying,1989-05-19,article,News,New York,"['Dogs', 'Murders and Attempted Murders', 'Children and Youth']",,The New York Times,"A 14-year-old Brooklyn girl was arrested Wednesday night and charged with second-degree murder after she stabbed another teen-age girl to death during a fight over a dog, the police said yesterday. The victim, Pacquita Braswell, 18, of 375 Blake Avenue in the Brownsville section, was stabbed once in the chest outside her apartment building about 11 P.M. She was pronounced dead a short time later at Brookdale Hospital. The suspect, Tomika Fleming, of 371 Blake Avenue, had apparently argued with Miss Braswell over the ownership of a dog, the police said."
"Pit Bull Kills Boy, 3",1989-05-06,article,News,U.S.,"['Accidents and Safety', 'Dogs', 'PIT BULLS (DOGS)', 'Children and Youth']",,The New York Times,"Dustin Webb, 3 years old, has died of wounds inflicted by his grandparents' pit bull terrier, the authorities said. Dustin died Thursday at John Sealy Hospital in nearby Galveston a day after he was attacked by the dog in the backyard of his grandparents' home. His grandmother, Geraldine Webb, was in the house. The child was pulled away from the dog only after his grandmother and a neighbor fought the dog off, Police Chief Mark Wicker said."
Disobedient Labrador Retriever Noble Only in Spirit,1989-04-16,article,News,New York,['Dogs'],,The New York Times,DO I have the only dog in Westchester who isn't trained? Or am I the only new resident willing to admit it?
"CAMPUS LIFE: Texas A&M; Crowd of 10,000 Attends Funeral For School Mascot",1989-04-16,article,News,Style,"['Dogs', 'Mascots']",,The New York Times,Texas A&M University takes the death of its mascots seriously. Actually very seriously.
Dogs and the Disabled: New Role,1989-04-16,article,News,New York,"['Dogs', 'Handicapped']",,The New York Times,"''Charger puts the light on for me,'' said 18-year-old Andrew Cosel of Stony Brook. ''He brings me my crutches. He also brings me my clothes in the morning. But I like Charger best when he kisses me.''"
PARENT & CHILD,1989-04-06,article,News,Home & Garden,"['Dogs', 'PETS AND PET FOODS', 'Children and Youth']",,The New York Times,"SPRING is a time when many parents listen to their children's heartfelt assurances that caring for the crippled bird, the stray kitten or the neighbor's extra puppy really won't be any trouble at all."
Currents; Painter's Change of Art: From Murder to Comfort,1989-03-30,article,News,Home & Garden,['Dogs'],,The New York Times,"TEN years ago Steve Gianakos, a New York artist, created black-humored drawings titled ''How to Murder Your Pet.'' Now he has decided to make pets comfortable."
New York Will Ban New Pit Bulls After Oct. 1 and Restrict Others,1989-03-28,article,News,New York,"['LIABILITY INSURANCE', 'Dogs', 'PITT BULLS (DOGS)']",,The New York Times,No new pit bull terriers would be allowed in New York City after Oct. 1 under strict rules adopted yesterday by the city's Board of Health.
LONG ISLAND JOURNAL,1989-03-26,article,News,New York,['Dogs'],,The New York Times,"Dog Training 101 ''THIS is going to be a comic piece, right?'' said Stephanie Reyer of Great Neck, holding her dog Sasha in a vice grip as dogs in various stages of terror and excitement entered the auditorium of Great Neck's Cumberland Elementary School. Sasha, a large German shepherd-husky-mix, was going into a barking frenzy every time a new dog came in. ''She'll be expelled before we start,'' Mrs. Reyer said."
"Runyan Captures Iditarod, Ending Butcher's Streak",1989-03-16,article,News,Sports,['Dog Sledding'],,The New York Times,Joe Runyan won the Iditarod Trail Sled Dog Race today to end the three-year reign of Susan Butcher.
A Leash That May Be More Humane,1989-02-09,article,News,Home & Garden,"['Dogs', 'INVENTIONS AND INVENTORS']",,The New York Times,"''It's a miracle,'' said James Drakeford, an assistant department manager at Dean and DeLuca in New York City, after walking a friend's dog with a new device called the Gentle Leader. Mr. Drakeford had previously been dragged down the street by his friend's 50-pound mutt. ''With the halter,'' he said, ''the dog simply couldn't pull.''"
"On Barks and Bites, Leases and Leashes",1989-02-10,article,News,New York,"['Dogs', 'Suits and Litigation', 'Law and Legislation']",,The New York Times,"If a dog bites the little girl next door after she stomps on its tail, what are the legal consequences? If the landlord tries to evict a tenant for violating a ''no pets'' clause in a lease, is there any recourse? When the neighbor demands a new pair of Gucci loafers after the dog fouls his walkway, can he collect in court?"
Bush Is Shooed by Wife As Puppy Love Intrudes,1989-03-18,article,News,U.S.,['Dogs'],,The New York Times,"''Seriously, it's awful,'' President Bush complained today. Mrs. Bush told him this morning that he would be evicted from their White House bedroom tonight because their dog, Millie, was about to have puppies and was making too much noise."
Sled Dogs Compete in Races,1989-02-19,article,News,New York,"['Dog Sledding', 'RACES AND REGATTAS']","LEAD: ''THREE minutes, three minutes, three minutes!'' warned the timekeeper as the contestants guided their teams toward the starting line.",The New York Times,"LEAD: ''THREE minutes, three minutes, three minutes!'' warned the timekeeper as the contestants guided their teams toward the starting line."
"THE LAW: At the Bar; High bar official draws fire over dismissals, flamboyance and Dalmatians",1989-03-31,article,News,U.S.,"['Suspensions, Dismissals and Resignations', 'Dogs', 'Ethics']",,The New York Times,"The career of Jill Wine-Banks has been a series of firsts. At 44 years of age, she has already been the first woman to be a Watergate prosecutor, general counsel to the Army and now executive director of the American Bar Association."
